ProdutoID;Produtos;Subcategoria;Categoria;VendalD;Data;ProdutoID;Quantidade;Receita;Custo;Lucro;Regiao;Vendedor;Tipo Perda;Valor Perda;Status da Venda
13;Smart TV Samsung 50;TVs;Eletrônicos;69;14/01/2024;13;2;R$ 7.036,00;R$ 3.588,36;R$ 3.447,64;Sudeste;Pedro;Cancelamento;R$ 487,00;Com Perda
68;Shampoo;Beleza;Beleza;8;09/10/2025;68;2;R$ 5.616,00;R$ 3.257,28;R$ 2.358,72;Sudeste;Ana;Desconto;R$ 489,00;Com Perda
54;Sapato Social Masculino;Calçados;Calçados;81;01/02/2020;54;2;R$ 3.984,00;R$ 2.191,20;R$ 1.792,80;Sudeste;Pedro;Desconto;R$ 416,00;Com Perda
60;Jaqueta Jeans;Roupas;Roupas;92;08/12/2022;60;9;R$ 43.308,00;R$ 28.150,20;R$ 15.157,80;Sudeste;Pedro;Sem perda;R$ 0,00;Com Perda
25;Teclado Mecânico Redragon;Acessórios;Informática;84;07/02/2024;25;2;R$ 3.160,00;R$ 2.496,40;R$ 663,60;Nordeste;Fernanda;Sem perda;R$ 0,00;Com Perda
39;Fogão 5 bocas;Eletrodomésticos;Casa;71;06/10/2025;39;8;R$ 10.632,00;R$ 8.399,28;R$ 2.232,72;Centro-Oeste;Carla;Devolução;R$ 477,00;Com Perda
43;Sofá 3 Lugares;Móveis;Casa;45;07/10/2018;43;9;R$ 6.723,00;R$ 4.975,02;R$ 1.747,98;Norte;Marcos;Desconto;R$ 446,00;Com Perda
16;Smart TV Philips 50;TVs;Eletrônicos;88;25/07/2020;16;10;R$ 10.780,00;R$ 6.899,20;R$ 3.880,80;Centro-Oeste;Diego;Sem perda;R$ 0,00;Com Perda
18;Notebook Dell XPS;Notebooks;Informática;71;15/12/2018;18;7;R$ 6.209,00;R$ 4.284,21;R$ 1.924,79;Norte;Marcos;Cancelamento;R$ 335,00;Com Perda
93;Monitor Samsung 27;Informática;Informática;70;18/02/2020;93;4;R$ 9.824,00;R$ 6.975,04;R$ 2.848,96;Sudeste;João;Devolução;R$ 91,00;Com Perda
59;Camiseta Básica;Roupas;Roupas;77;17/07/2025;59;7;R$ 21.931,00;R$ 16.667,56;R$ 5.263,44;Nordeste;Rafael;Desconto;R$ 70,00;Com Perda
26;Teclado Logitech;Acessórios;Informática;95;07/11/2025;26;9;R$ 22.653,00;R$ 14.724,45;R$ 7.928,55;Sul;Maria;Sem perda;R$ 0,00;Com Perda
51;Tênis Nike;Calçados;Calçados;50;24/12/2023;51;1;R$ 1.458,00;R$ 1.078,92;R$ 379,08;Sul;Lucas;Sem perda;R$ 0,00;Com Perda
8;Xiaomi Redmi Note 12;Smartphones;Eletrônicos;21;12/10/2024;8;5;R$ 9.545,00;R$ 5.631,55;R$ 3.913,45;Nordeste;Rafael;Sem perda;R$ 0,00;Com Perda
85;Caneta Esferográfica;Papelaria;Papelaria;17;12/11/2021;85;9;R$ 24.885,00;R$ 18.663,75;R$ 6.221,25;Centro-Oeste;André;Sem perda;R$ 0,00;Com Perda
3;iPhone 15;Smartphones;Eletrônicos;92;22/09/2016;3;10;R$ 12.010,00;R$ 6.605,50;R$ 5.404,50;Centro-Oeste;Carla;Cancelamento;R$ 257,00;Com Perda
99;Pen Drive 128GB;Informática;Informática;38;28/02/2016;99;5;R$ 12.145,00;R$ 7.529,90;R$ 4.615,10;Centro-Oeste;Carla;Devolução;R$ 268,00;Com Perda
28;Headset Gamer Logitech;Acessórios;Informática;10;26/05/2019;28;1;R$ 1.564,00;R$ 985,32;R$ 578,68;Centro-Oeste;André;Cancelamento;R$ 130,00;Com Perda
97;SSD 500GB;Informática;Informática;57;24/05/2019;97;7;R$ 27.552,00;R$ 14.602,56;R$ 12.949,44;Centro-Oeste;André;Cancelamento;R$ 100,00;Com Perda
89;Impressora HP;Informática;Informática;53;24/05/2019;89;2;R$ 1.086,00;R$ 836,22;R$ 249,78;Norte;Paula;Devolução;R$ 426,00;Com Perda
2;iPhone 14;Smartphones;Eletrônicos;9;01/03/2023;2;10;R$ 3.740,00;R$ 2.543,20;R$ 1.196,80;Norte;Marcos;Desconto;R$ 393,00;Com Perda
75;Esteira Elétrica;Esportes;Esportes;100;22/10/2024;75;2;R$ 1.594,00;R$ 1.052,04;R$ 541,96;Nordeste;Fernanda;Desconto;R$ 79,00;Com Perda
21;MacBook Air;Notebooks;Informática;14;01/07/2019;21;5;R$ 24.280,00;R$ 14.810,80;R$ 9.469,20;Norte;Paula;Cancelamento;R$ 64,00;Com Perda
85;Caneta Esferográfica;Papelaria;Papelaria;30;11/10/2023;85;6;R$ 21.660,00;R$ 15.378,60;R$ 6.281,40;Nordeste;Carlos;Desconto;R$ 414,00;Com Perda
30;Webcam Full HD;Acessórios;Informática;23;24/02/2017;30;10;R$ 40.310,00;R$ 23.379,80;R$ 16.930,20;Centro-Oeste;André;Cancelamento;R$ 70,00;Com Perda
60;Jaqueta Jeans;Roupas;Roupas;26;09/12/2015;60;9;R$ 31.230,00;R$ 15.615,00;R$ 15.615,00;Centro-Oeste;André;Sem perda;R$ 0,00;Com Perda
13;Smart TV Samsung 50;TVs;Eletrônicos;12;18/05/2017;13;4;R$ 17.896,00;R$ 10.200,72;R$ 7.695,28;Norte;Marcos;Devolução;R$ 395,00;Com Perda
46;Cadeira Gamer;Móveis;Casa;39;27/01/2021;46;4;R$ 17.028,00;R$ 11.579,04;R$ 5.448,96;Norte;Juliana;Cancelamento;R$ 387,00;Com Perda
3;iPhone 15;Smartphones;Eletrônicos;14;23/11/2025;3;5;R$ 20.465,00;R$ 11.460,40;R$ 9.004,60;Sudeste;Pedro;Sem perda;R$ 0,00;Com Perda
9;Motorola Edge 30;Smartphones;Eletrônicos;38;08/12/2016;9;4;R$ 6.672,00;R$ 4.136,64;R$ 2.535,36;Norte;Juliana;Desconto;R$ 53,00;Com Perda
36;Air Fryer Mondial;Eletrodomésticos;Casa;32;14/05/2024;36;3;R$ 8.133,00;R$ 6.506,40;R$ 1.626,60;Centro-Oeste;André;Cancelamento;R$ 242,00;Com Perda
36;Air Fryer Mondial;Eletrodomésticos;Casa;3;19/04/2019;36;7;R$ 5.558,00;R$ 4.001,76;R$ 1.556,24;Centro-Oeste;Diego;Devolução;R$ 287,00;Com Perda
67;Hidratante Corporal;Beleza;Beleza;17;24/01/2021;67;10;R$ 1.800,00;R$ 1.404,00;R$ 396,00;Sudeste;Pedro;Devolução;R$ 498,00;Com Perda
68;Shampoo;Beleza;Beleza;72;10/12/2019;68;6;R$ 1.962,00;R$ 1.393,02;R$ 568,98;Nordeste;Carlos;Devolução;R$ 276,00;Com Perda
92;Monitor LG 24;Informática;Informática;10;21/07/2017;92;9;R$ 28.089,00;R$ 19.943,19;R$ 8.145,81;Nordeste;Rafael;Sem perda;R$ 0,00;Com Perda
92;Monitor LG 24;Informática;Informática;68;13/02/2015;92;9;R$ 26.451,00;R$ 20.367,27;R$ 6.083,73;Sul;Lucas;Sem perda;R$ 0,00;Com Perda
38;Fogão 4 bocas;Eletrodomésticos;Casa;67;21/11/2016;38;1;R$ 2.914,00;R$ 1.544,42;R$ 1.369,58;Norte;Marcos;Sem perda;R$ 0,00;Com Perda
13;Smart TV Samsung 50;TVs;Eletrônicos;100;23/10/2019;13;1;R$ 2.031,00;R$ 1.421,70;R$ 609,30;Nordeste;Rafael;Devolução;R$ 91,00;Com Perda
85;Caneta Esferográfica;Papelaria;Papelaria;95;14/11/2022;85;6;R$ 11.610,00;R$ 6.617,70;R$ 4.992,30;Centro-Oeste;André;Devolução;R$ 96,00;Com Perda
38;Fogão 4 bocas;Eletrodomésticos;Casa;92;02/06/2022;38;4;R$ 12.628,00;R$ 9.218,44;R$ 3.409,56;Norte;Paula;Sem perda;R$ 0,00;Com Perda
57;Sandália Feminina;Calçados;Calçados;89;19/08/2016;57;6;R$ 22.560,00;R$ 13.084,80;R$ 9.475,20;Sul;Bruno;Cancelamento;R$ 158,00;Com Perda
40;Máquina de Lavar Brastemp;Eletrodomésticos;Casa;23;07/12/2023;40;9;R$ 10.593,00;R$ 5.508,36;R$ 5.084,64;Nordeste;Rafael;Sem perda;R$ 0,00;Com Perda
89;Impressora HP;Informática;Informática;84;23/03/2023;89;1;R$ 3.351,00;R$ 2.345,70;R$ 1.005,30;Norte;Paula;Sem perda;R$ 0,00;Com Perda
96;HD Externo 1TB;Informática;Informática;8;05/12/2015;96;1;R$ 3.607,00;R$ 1.911,71;R$ 1.695,29;Centro-Oeste;André;Sem perda;R$ 0,00;Com Perda
70;Bola de Futebol;Esportes;Esportes;23;01/07/2023;70;9;R$ 12.456,00;R$ 9.715,68;R$ 2.740,32;Sudeste;João;Devolução;R$ 421,00;Com Perda
15;Smart TV TCL 43;TVs;Eletrônicos;13;27/10/2022;15;2;R$ 3.898,00;R$ 2.611,66;R$ 1.286,34;Centro-Oeste;Carla;Cancelamento;R$ 332,00;Com Perda
28;Headset Gamer Logitech;Acessórios;Informática;59;08/08/2018;28;2;R$ 2.226,00;R$ 1.135,26;R$ 1.090,74;Norte;Paula;Desconto;R$ 315,00;Com Perda
32;Geladeira Electrolux;Eletrodomésticos;Casa;57;22/01/2023;32;1;R$ 311,00;R$ 171,05;R$ 139,95;Sudeste;Pedro;Cancelamento;R$ 460,00;Com Perda
93;Monitor Samsung 27;Informática;Informática;74;09/09/2019;93;3;R$ 8.493,00;R$ 5.180,73;R$ 3.312,27;Norte;Paula;Cancelamento;R$ 119,00;Com Perda
16;Smart TV Philips 50;TVs;Eletrônicos;80;15/11/2025;16;10;R$ 12.520,00;R$ 8.263,20;R$ 4.256,80;Sudeste;Pedro;Cancelamento;R$ 289,00;Com Perda
56;Chinelo Havaianas;Calçados;Calçados;75;19/04/2021;56;2;R$ 8.130,00;R$ 5.609,70;R$ 2.520,30;Centro-Oeste;André;Sem perda;R$ 0,00;Com Perda
19;Notebook Lenovo IdeaPad;Notebooks;Informática;61;05/01/2023;19;9;R$ 1.125,00;R$ 866,25;R$ 258,75;Nordeste;Fernanda;Desconto;R$ 313,00;Com Perda
60;Jaqueta Jeans;Roupas;Roupas;80;19/12/2016;60;4;R$ 11.000,00;R$ 8.250,00;R$ 2.750,00;Nordeste;Fernanda;Devolução;R$ 404,00;Com Perda
77;Pneu Aro 13;Automotivo;Automotivo;11;01/05/2022;77;8;R$ 32.544,00;R$ 17.248,32;R$ 15.295,68;Norte;Marcos;Devolução;R$ 411,00;Com Perda
65;Perfume Feminino;Beleza;Beleza;67;19/05/2015;65;4;R$ 6.148,00;R$ 3.504,36;R$ 2.643,64;Sudeste;Pedro;Devolução;R$ 287,00;Com Perda
54;Sapato Social Masculino;Calçados;Calçados;49;20/06/2020;54;2;R$ 5.936,00;R$ 4.095,84;R$ 1.840,16;Nordeste;Rafael;Devolução;R$ 150,00;Com Perda
32;Geladeira Electrolux;Eletrodomésticos;Casa;76;21/11/2021;32;2;R$ 8.426,00;R$ 5.224,12;R$ 3.201,88;Nordeste;Rafael;Devolução;R$ 306,00;Com Perda
74;Halter 10kg;Esportes;Esportes;7;04/10/2015;74;5;R$ 21.115,00;R$ 12.880,15;R$ 8.234,85;Sudeste;João;Desconto;R$ 418,00;Com Perda
33;Geladeira Samsung;Eletrodomésticos;Casa;72;24/12/2023;33;1;R$ 2.910,00;R$ 2.037,00;R$ 873,00;Sudeste;Pedro;Sem perda;R$ 0,00;Com Perda
100;Porta Cartão de Couro;Acessórios;Informática;71;07/10/2022;100;9;R$ 39.339,00;R$ 23.210,01;R$ 16.128,99;Sudeste;João;Devolução;R$ 384,00;Com Perda
82;Palheta Limpador;Automotivo;Automotivo;14;06/02/2016;82;3;R$ 6.336,00;R$ 4.815,36;R$ 1.520,64;Sul;Maria;Devolução;R$ 376,00;Com Perda
44;Mesa de Jantar 4 lugares;Móveis;Casa;31;25/01/2021;44;7;R$ 34.783,00;R$ 26.435,08;R$ 8.347,92;Sudeste;João;Devolução;R$ 463,00;Com Perda
20;Notebook Lenovo ThinkPad;Notebooks;Informática;34;10/10/2020;20;6;R$ 7.620,00;R$ 4.114,80;R$ 3.505,20;Sudeste;Ana;Devolução;R$ 269,00;Com Perda
19;Notebook Lenovo IdeaPad;Notebooks;Informática;75;09/03/2021;19;7;R$ 14.406,00;R$ 11.380,74;R$ 3.025,26;Sul;Maria;Cancelamento;R$ 497,00;Com Perda
42;Sofá 2 Lugares;Móveis;Casa;31;04/05/2020;42;10;R$ 22.390,00;R$ 11.642,80;R$ 10.747,20;Sudeste;João;Desconto;R$ 290,00;Com Perda
22;MacBook Pro;Notebooks;Informática;72;08/11/2025;22;3;R$ 1.539,00;R$ 1.169,64;R$ 369,36;Sul;Maria;Devolução;R$ 202,00;Com Perda
30;Webcam Full HD;Acessórios;Informática;22;08/10/2021;30;3;R$ 11.052,00;R$ 5.526,00;R$ 5.526,00;Centro-Oeste;André;Devolução;R$ 155,00;Com Perda
48;Guarda-Roupa Solteiro;Móveis;Casa;100;13/03/2023;48;9;R$ 37.746,00;R$ 26.799,66;R$ 10.946,34;Centro-Oeste;Diego;Sem perda;R$ 0,00;Com Perda
33;Geladeira Samsung;Eletrodomésticos;Casa;48;17/06/2016;33;2;R$ 6.614,00;R$ 4.299,10;R$ 2.314,90;Norte;Marcos;Cancelamento;R$ 303,00;Com Perda
28;Headset Gamer Logitech;Acessórios;Informática;1;24/12/2024;28;6;R$ 11.334,00;R$ 8.727,18;R$ 2.606,82;Sul;Lucas;Sem perda;R$ 0,00;Com Perda
71;Bola de Basquete;Esportes;Esportes;46;05/09/2023;71;2;R$ 6.468,00;R$ 4.915,68;R$ 1.552,32;Nordeste;Fernanda;Cancelamento;R$ 157,00;Com Perda
82;Palheta Limpador;Automotivo;Automotivo;71;20/04/2023;82;7;R$ 28.441,00;R$ 19.339,88;R$ 9.101,12;Centro-Oeste;Carla;Desconto;R$ 477,00;Com Perda
87;Mochila Escolar;Papelaria;Papelaria;96;10/04/2016;87;4;R$ 10.348,00;R$ 7.450,56;R$ 2.897,44;Sudeste;Pedro;Sem perda;R$ 0,00;Com Perda
83;Caderno Universitário;Papelaria;Papelaria;50;24/10/2025;83;7;R$ 23.835,00;R$ 12.155,85;R$ 11.679,15;Sul;Bruno;Desconto;R$ 493,00;Com Perda
80;Óleo de Motor;Automotivo;Automotivo;43;21/08/2019;80;8;R$ 22.664,00;R$ 12.011,92;R$ 10.652,08;Sudeste;Pedro;Desconto;R$ 241,00;Com Perda
66;Creme Facial;Beleza;Beleza;74;02/05/2021;66;7;R$ 13.692,00;R$ 10.405,92;R$ 3.286,08;Centro-Oeste;André;Devolução;R$ 83,00;Com Perda
7;Xiaomi Redmi Note 11;Smartphones;Eletrônicos;47;12/03/2023;7;3;R$ 12.054,00;R$ 9.281,58;R$ 2.772,42;Sudeste;João;Devolução;R$ 293,00;Com Perda
57;Sandália Feminina;Calçados;Calçados;72;04/05/2021;57;4;R$ 15.996,00;R$ 8.477,88;R$ 7.518,12;Sul;Lucas;Devolução;R$ 337,00;Com Perda
44;Mesa de Jantar 4 lugares;Móveis;Casa;78;28/12/2020;44;9;R$ 34.722,00;R$ 19.097,10;R$ 15.624,90;Nordeste;Fernanda;Desconto;R$ 163,00;Com Perda
100;Porta Cartão de Couro;Acessórios;Informática;17;04/12/2024;100;1;R$ 786,00;R$ 416,58;R$ 369,42;Sul;Lucas;Desconto;R$ 411,00;Com Perda
46;Cadeira Gamer;Móveis;Casa;16;03/11/2019;46;4;R$ 15.584,00;R$ 8.415,36;R$ 7.168,64;Norte;Marcos;Desconto;R$ 440,00;Com Perda
58;Camisa Polo;Roupas;Roupas;13;19/07/2025;58;1;R$ 3.950,00;R$ 2.212,00;R$ 1.738,00;Norte;Paula;Sem perda;R$ 0,00;Com Perda
21;MacBook Air;Notebooks;Informática;22;16/11/2019;21;4;R$ 15.380,00;R$ 8.151,40;R$ 7.228,60;Norte;Paula;Desconto;R$ 211,00;Com Perda
15;Smart TV TCL 43;TVs;Eletrônicos;35;20/08/2025;15;3;R$ 4.536,00;R$ 3.492,72;R$ 1.043,28;Sul;Lucas;Devolução;R$ 384,00;Com Perda
22;MacBook Pro;Notebooks;Informática;95;16/01/2025;22;2;R$ 1.340,00;R$ 1.031,80;R$ 308,20;Centro-Oeste;André;Devolução;R$ 467,00;Com Perda
76;Bicicleta Ergométrica;Esportes;Esportes;42;17/11/2016;76;3;R$ 3.705,00;R$ 2.964,00;R$ 741,00;Sudeste;João;Sem perda;R$ 0,00;Com Perda
92;Monitor LG 24;Informática;Informática;77;06/11/2023;92;6;R$ 20.994,00;R$ 16.795,20;R$ 4.198,80;Sudeste;João;Sem perda;R$ 0,00;Com Perda
8;Xiaomi Redmi Note 12;Smartphones;Eletrônicos;16;08/05/2025;8;7;R$ 19.761,00;R$ 15.611,19;R$ 4.149,81;Sul;Maria;Devolução;R$ 434,00;Com Perda
39;Fogão 5 bocas;Eletrodomésticos;Casa;25;20/07/2022;39;6;R$ 12.108,00;R$ 6.296,16;R$ 5.811,84;Centro-Oeste;Carla;Sem perda;R$ 0,00;Com Perda
17;Notebook Dell Inspiron;Notebooks;Informática;76;08/10/2019;17;8;R$ 13.120,00;R$ 8.003,20;R$ 5.116,80;Centro-Oeste;Diego;Cancelamento;R$ 277,00;Com Perda
4;Samsung Galaxy S21;Smartphones;Eletrônicos;59;14/09/2020;4;4;R$ 20.000,00;R$ 14.400,00;R$ 5.600,00;Norte;Marcos;Cancelamento;R$ 224,00;Com Perda
52;Tênis Adidas;Calçados;Calçados;95;14/02/2021;52;1;R$ 4.930,00;R$ 3.894,70;R$ 1.035,30;Sudeste;Ana;Cancelamento;R$ 398,00;Com Perda
41;Máquina de Lavar Electrolux;Eletrodomésticos;Casa;9;13/06/2024;41;3;R$ 8.889,00;R$ 4.977,84;R$ 3.911,16;Norte;Marcos;Desconto;R$ 182,00;Com Perda
96;HD Externo 1TB;Informática;Informática;64;18/09/2021;96;5;R$ 890,00;R$ 685,30;R$ 204,70;Sudeste;Ana;Desconto;R$ 337,00;Com Perda
19;Notebook Lenovo IdeaPad;Notebooks;Informática;85;22/02/2020;19;10;R$ 35.590,00;R$ 18.150,90;R$ 17.439,10;Sudeste;Pedro;Devolução;R$ 472,00;Com Perda
22;MacBook Pro;Notebooks;Informática;61;23/02/2016;22;6;R$ 22.212,00;R$ 13.327,20;R$ 8.884,80;Centro-Oeste;Carla;Sem perda;R$ 0,00;Com Perda
93;Monitor Samsung 27;Informática;Informática;92;24/12/2021;93;8;R$ 26.208,00;R$ 20.442,24;R$ 5.765,76;Nordeste;Rafael;Desconto;R$ 133,00;Com Perda
47;Guarda-Roupa Casal;Móveis;Casa;41;13/05/2025;47;10;R$ 11.850,00;R$ 9.361,50;R$ 2.488,50;Norte;Marcos;Devolução;R$ 112,00;Com Perda
29;Webcam HD Logitech;Acessórios;Informática;92;17/06/2019;29;3;R$ 7.950,00;R$ 5.167,50;R$ 2.782,50;Nordeste;Carlos;Cancelamento;R$ 104,00;Com Perda
16;Smart TV Philips 50;TVs;Eletrônicos;16;10/03/2024;16;7;R$ 7.238,00;R$ 5.573,26;R$ 1.664,74;Centro-Oeste;André;Desconto;R$ 394,00;Com Perda
58;Camisa Polo;Roupas;Roupas;26;24/07/2015;58;8;R$ 22.120,00;R$ 15.262,80;R$ 6.857,20;Norte;Paula;Sem perda;R$ 0,00;Com Perda
49;Cama Box Casal;Móveis;Casa;4;16/12/2022;49;9;R$ 14.778,00;R$ 10.640,16;R$ 4.137,84;Sudeste;Ana;Cancelamento;R$ 348,00;Com Perda
23;Mouse Logitech;Acessórios;Informática;39;02/12/2015;23;10;R$ 18.920,00;R$ 12.298,00;R$ 6.622,00;Nordeste;Carlos;Devolução;R$ 324,00;Com Perda
22;MacBook Pro;Notebooks;Informática;58;08/06/2016;22;9;R$ 26.919,00;R$ 13.459,50;R$ 13.459,50;Centro-Oeste;André;Sem perda;R$ 0,00;Com Perda
66;Creme Facial;Beleza;Beleza;63;08/09/2018;66;2;R$ 6.828,00;R$ 5.257,56;R$ 1.570,44;Nordeste;Fernanda;Devolução;R$ 437,00;Com Perda
68;Shampoo;Beleza;Beleza;66;24/07/2016;68;3;R$ 5.886,00;R$ 4.649,94;R$ 1.236,06;Sudeste;João;Devolução;R$ 347,00;Com Perda
93;Monitor Samsung 27;Informática;Informática;67;25/08/2025;93;5;R$ 20.940,00;R$ 13.611,00;R$ 7.329,00;Centro-Oeste;Carla;Cancelamento;R$ 368,00;Com Perda
14;Smart TV Samsung 55;TVs;Eletrônicos;22;20/06/2023;14;5;R$ 16.145,00;R$ 11.140,05;R$ 5.004,95;Nordeste;Fernanda;Devolução;R$ 454,00;Com Perda
94;Roteador Wi-Fi;Informática;Informática;93;12/04/2019;94;6;R$ 7.014,00;R$ 3.787,56;R$ 3.226,44;Norte;Marcos;Cancelamento;R$ 482,00;Com Perda
58;Camisa Polo;Roupas;Roupas;83;16/06/2015;58;5;R$ 4.915,00;R$ 2.850,70;R$ 2.064,30;Nordeste;Carlos;Devolução;R$ 159,00;Com Perda
77;Pneu Aro 13;Automotivo;Automotivo;61;23/02/2018;77;9;R$ 19.521,00;R$ 15.031,17;R$ 4.489,83;Nordeste;Carlos;Devolução;R$ 498,00;Com Perda
44;Mesa de Jantar 4 lugares;Móveis;Casa;71;23/08/2015;44;3;R$ 10.965,00;R$ 6.250,05;R$ 4.714,95;Sul;Bruno;Devolução;R$ 77,00;Com Perda
12;Smart TV LG 50;TVs;Eletrônicos;69;13/10/2025;12;3;R$ 14.403,00;R$ 7.633,59;R$ 6.769,41;Sudeste;Ana;Desconto;R$ 198,00;Com Perda
57;Sandália Feminina;Calçados;Calçados;24;14/06/2023;57;2;R$ 2.252,00;R$ 1.126,00;R$ 1.126,00;Sul;Maria;Cancelamento;R$ 465,00;Com Perda
22;MacBook Pro;Notebooks;Informática;19;25/08/2025;22;8;R$ 9.888,00;R$ 6.328,32;R$ 3.559,68;Nordeste;Carlos;Sem perda;R$ 0,00;Com Perda
33;Geladeira Samsung;Eletrodomésticos;Casa;10;24/01/2023;33;1;R$ 3.040,00;R$ 1.611,20;R$ 1.428,80;Centro-Oeste;André;Cancelamento;R$ 197,00;Com Perda
51;Tênis Nike;Calçados;Calçados;94;27/04/2024;51;5;R$ 3.655,00;R$ 2.339,20;R$ 1.315,80;Norte;Juliana;Desconto;R$ 160,00;Com Perda
74;Halter 10kg;Esportes;Esportes;99;25/07/2020;74;3;R$ 3.168,00;R$ 2.249,28;R$ 918,72;Nordeste;Fernanda;Desconto;R$ 251,00;Com Perda
66;Creme Facial;Beleza;Beleza;62;25/11/2015;66;7;R$ 1.771,00;R$ 1.381,38;R$ 389,62;Sudeste;João;Sem perda;R$ 0,00;Com Perda
18;Notebook Dell XPS;Notebooks;Informática;54;02/06/2024;18;3;R$ 1.011,00;R$ 738,03;R$ 272,97;Sudeste;Ana;Sem perda;R$ 0,00;Com Perda
28;Headset Gamer Logitech;Acessórios;Informática;83;09/07/2017;28;7;R$ 8.603,00;R$ 4.559,59;R$ 4.043,41;Centro-Oeste;André;Desconto;R$ 227,00;Com Perda
53;Tênis Puma;Calçados;Calçados;69;06/05/2016;53;6;R$ 12.540,00;R$ 7.774,80;R$ 4.765,20;Centro-Oeste;Diego;Sem perda;R$ 0,00;Com Perda
95;Switch de Rede;Informática;Informática;83;01/06/2022;95;9;R$ 40.455,00;R$ 32.364,00;R$ 8.091,00;Nordeste;Carlos;Sem perda;R$ 0,00;Com Perda
55;Sapato Social Feminino;Calçados;Calçados;94;11/05/2025;55;5;R$ 23.200,00;R$ 15.312,00;R$ 7.888,00;Sul;Bruno;Cancelamento;R$ 247,00;Com Perda
61;Jaqueta de Couro;Roupas;Roupas;78;24/10/2023;61;7;R$ 11.361,00;R$ 7.498,26;R$ 3.862,74;Sudeste;João;Cancelamento;R$ 387,00;Com Perda
30;Webcam Full HD;Acessórios;Informática;39;10/10/2015;30;5;R$ 860,00;R$ 559,00;R$ 301,00;Sudeste;Pedro;Desconto;R$ 477,00;Com Perda
28;Headset Gamer Logitech;Acessórios;Informática;5;10/04/2025;28;7;R$ 3.913,00;R$ 1.995,63;R$ 1.917,37;Sul;Bruno;Cancelamento;R$ 240,00;Com Perda
51;Tênis Nike;Calçados;Calçados;8;19/03/2025;51;6;R$ 17.736,00;R$ 11.705,76;R$ 6.030,24;Centro-Oeste;Carla;Desconto;R$ 217,00;Com Perda
59;Camiseta Básica;Roupas;Roupas;74;01/02/2022;59;6;R$ 23.730,00;R$ 17.797,50;R$ 5.932,50;Nordeste;Fernanda;Sem perda;R$ 0,00;Com Perda
